B6,40.633974,-73.948139,2015-12-30T18:59:56.000,7148,UP_W5-Weekday-108500_B36_427,2015-12-30,B6C0157,300541,26.58,7370.1,at stop
Q36,40.711366,-73.791202,2015-12-30T19:00:05.000,9534,QV_W5-Weekday-113400_MISC_273,2015-12-30,Q360161,500004,27.52,995.34,at stop
S52,40.596153,-74.072206,2015-12-30T18:59:35.848,8195,CA_E5-Weekday-112000_MISC_492,2015-12-30,S520109,200694,191.52,5211.75,< 1 stop away
B41,40.641728,-73.956842,2015-12-30T18:59:48.000,4954,FB_W5-Weekday-107600_B41_62,2015-12-30,B410315,303314,479.74,7767.41,< 1 stop away
M15+,40.784236,-73.94707,2015-12-30T18:59:48.000,1280,OF_W5-Weekday-112000_SBS15_447,2015-12-30,SBS150091,405307,635.25,3129.23,< 1 stop away
B63,40.630611,-74.022178,2015-12-30T18:59:39.605,342,JG_W5-Weekday-106600_B63_127,2015-12-30,B630128,305455,166.66,9512.84,< 1 stop away
Q26,40.745438,-73.778436,2015-12-30T18:59:49.000,6874,CS_W5-Weekday-111700_Q26_4,2015-12-30,Q260095,502762,185.69,5445.74,< 1 stop away
X9,40.579309,-74.100876,2015-12-30T18:59:40.000,2597,YU_E5-Weekday-103500_X109_81,2015-12-30,X90107,200237,231.03,30724.0,< 1 stop away
BX18,40.838696,-73.913442,2015-12-30T18:59:44.443,4394,KB_W5-Weekday-115000_BX18_7,2015-12-30,BX180047,802165,0.0,0.0,at stop
M4,40.808599,-73.963349,2015-12-30T18:59:37.000,6704,MV_W5-Weekday-105000_M5_232,2015-12-30,M040335,803156,463.64,9912.48,< 1 stop away
B44+,40.688637,-73.95122,2015-12-30T18:59:45.000,5345,FB_W5-Weekday-112600_SB44_533,2015-12-30,SB44C0036,307905,310.38,3004.88,< 1 stop away
Q5,40.67535,-73.738362,2015-12-30T18:59:46.000,8052,JA_W5-Weekday-109300_MISC_507,2015-12-30,Q050150,500559,7.14,6878.67,at stop
M10,40.790646,-73.965427,2015-12-30T19:00:00.000,6372,MV_W5-Weekday-112400_M10_17,2015-12-30,M100058,401259,168.7,3255.91,< 1 stop away
B61,40.690407,-73.994971,2015-12-30T18:59:42.000,251,JG_W5-Weekday-113100_B61_25,2015-12-30,B610107,305217,103.52,1049.26,approaching
X22,40.75651,-73.98808,2015-12-30T19:00:03.122,2835,CH_E5-Weekday-108700_X22_721,2015-12-30,X220174,401851,233.12,2732.39,< 1 stop away
B32,40.743591,-73.950975,2015-12-30T18:59:52.000,9457,GA_W5-Weekday-114000_B32_154,2015-12-30,B320024,503962,69.82,685.42,approaching
B61,40.657383,-73.983826,2015-12-30T18:59:36.000,427,JG_W5-Weekday-108600_B61_26,2015-12-30,B610107,801136,104.53,9869.23,approaching
S92,40.586653,-74.199433,2015-12-30T19:00:00.648,3999,YU_E5-Weekday-109500_S6292_13,2015-12-30,S920028,203175,2.46,0.0,at stop
BX11,40.838296,-73.901389,2015-12-30T18:59:57.670,7750,WF_W5-Weekday-111900_BX11_25,2015-12-30,BX110051,100764,17.34,2890.93,at stop
Q1,40.712752,-73.783384,2015-12-30T18:59:41.000,9554,QV_W5-Weekday-111900_MISC_289,2015-12-30,Q010130,501414,126.92,5712.61,approaching
M15+,40.77739,-73.952113,2015-12-30T18:59:41.813,1269,OF_W5-Weekday-110600_SBS15_462,2015-12-30,SBS150091,401756,553.98,3919.63,< 1 stop away
Q17,40.740452,-73.786433,2015-12-30T18:59:37.000,8061,JA_W5-Weekday-111700_Q17_21,2015-12-30,Q170205,501340,8.84,5764.2,at stop
BX8,40.883713,-73.855967,2015-12-30T18:59:50.164,7657,WF_W5-Weekday-108600_BX8_21,2015-12-30,BX080074,100513,56.91,13304.02,approaching
Q17,40.742774,-73.814371,2015-12-30T19:00:02.000,9231,JA_W5-Weekday-111600_MISC_469,2015-12-30,Q170222,501382,353.96,3157.25,< 1 stop away
B46,40.679513,-73.928825,2015-12-30T18:59:56.000,5126,FB_W5-Weekday-110300_B46_102,2015-12-30,B460203,303672,17.31,4652.47,at stop
S51,40.58129,-74.112165,2015-12-30T18:59:43.478,7031,CA_E5-Weekday-114000_MISC_488,2015-12-30,S510083,200157,223.49,244.56,< 1 stop away
X38,40.607046,-74.015885,2015-12-30T19:00:01.209,2415,UP_W5-Weekday-107100_X2838_819,2015-12-30,X380129,300790,152.81,24533.05,< 1 stop away
B14,40.665025,-73.863301,2015-12-30T18:59:56.000,6805,EN_W5-Weekday-109100_B14_19,2015-12-30,B140041,901067,45.41,8290.25,approaching
B17,40.655407,-73.922874,2015-12-30T18:59:48.000,4982,EN_W5-Weekday-112100_B14_17,2015-12-30,B170070,301781,92.31,1838.42,approaching
Q20B,40.773365,-73.826443,2015-12-30T18:59:47.000,4690,CS_W5-Weekday-112800_Q20_30,2015-12-30,Q20B0030,501137,75.5,3684.5,approaching
Q16,40.760969,-73.827344,2015-12-30T18:59:58.000,6867,CS_W5-Weekday-114000_MISC_771,2015-12-30,Q160458,504477,0.0,0.02,at stop
X22,40.755629,-73.985985,2015-12-30T18:59:55.000,2493,CH_E5-Weekday-110700_X22_719,2015-12-30,X220174,403259,140.91,2438.32,approaching
